,Cross-1,Average accuracy
0,0.4642857142857143,0.4643
1,0.6785714285714286,0.6786
2,0.5357142857142857,0.5357
3,0.5,0.5
4,0.5,0.5
5,0.4642857142857143,0.4643
6,0.6071428571428571,0.6071
7,0.6071428571428571,0.6071
8,0.6785714285714286,0.6786
9,0.5714285714285714,0.5714
10,0.5,0.5
11,0.4642857142857143,0.4643
12,0.7142857142857143,0.7143
13,0.4642857142857143,0.4643
14,0.6071428571428571,0.6071
15,0.5,0.5
16,0.5714285714285714,0.5714
17,0.6428571428571429,0.6429
18,0.4642857142857143,0.4643
19,0.5,0.5
Average accuracy,0.5517857142857142,0.551785
