,Cross-1,Cross-2,Cross-3,Cross-4,Cross-5,Cross-6,Cross-7,Cross-8,Cross-9,Cross-10,Average accuracy
0,0.775,0.8,0.775,0.725,0.825,0.725,0.725,0.7,0.75,0.75,0.755
1,0.75,0.7,0.9,0.625,0.75,0.725,0.775,0.75,0.85,0.75,0.7575
2,0.85,0.725,0.85,0.975,0.825,0.75,0.875,0.8,0.9,0.825,0.8375
3,0.75,0.65,0.675,0.65,0.675,0.775,0.75,0.65,0.625,0.675,0.6875
4,0.65,0.725,0.8,0.725,0.775,0.75,0.775,0.825,0.6,0.8,0.7425
5,0.775,0.8,0.775,0.75,0.775,0.75,0.875,0.675,0.825,0.75,0.775
6,0.9,0.825,0.825,0.875,0.875,0.85,0.825,0.8,0.85,0.85,0.8475
7,0.75,0.8,0.8,0.8,0.75,0.75,0.65,0.7,0.725,0.775,0.75
8,0.775,0.725,0.675,0.925,0.7,0.775,0.825,0.7,0.625,0.775,0.75
9,0.775,0.85,0.65,0.775,0.775,0.825,0.775,0.825,0.775,0.825,0.785
10,0.9,0.9,0.825,0.9,0.85,0.9,0.825,0.825,0.875,0.825,0.8625
11,0.875,0.6,0.775,0.775,0.725,0.7,0.725,0.75,0.725,0.7,0.735
12,0.775,0.775,0.7,0.725,0.725,0.825,0.8,0.625,0.7,0.85,0.75
13,0.75,0.725,0.775,0.75,0.85,0.75,0.75,0.775,0.7,0.825,0.765
14,0.725,0.775,0.7,0.725,0.7,0.65,0.775,0.675,0.7,0.8,0.7225
15,0.8,0.7,0.7,0.775,0.7,0.75,0.8,0.675,0.575,0.725,0.72
16,0.65,0.675,0.7,0.725,0.775,0.675,0.775,0.725,0.575,0.85,0.7125
17,0.775,0.85,0.8,0.75,0.75,0.775,0.75,0.775,0.725,0.875,0.7825
18,0.725,0.775,0.675,0.7,0.625,0.65,0.75,0.675,0.75,0.7,0.7025
19,0.85,0.875,0.875,0.825,0.825,0.75,0.825,0.7,0.925,0.85,0.83
Average accuracy,0.7787499999999999,0.7625,0.7625,0.7737499999999999,0.7625,0.7550000000000001,0.7812499999999999,0.73125,0.7387499999999999,0.78875,0.7635000000000001
